,address,Lat_,long_
81,"2357 N 187th St, Shoreline, WA 98133",47.7647619,-122.3342534
82,"17512 Corliss Ave N, Shoreline, WA 98133",47.7304604,-122.3315657
83,"1610 N 185th St, Shoreline, WA 98133",47.7631651,-122.3459014
84,"10740 Stone Ave N, Seattle, WA 98133",47.7080748,-122.3415214
85,"14301 Wallingford Ave N, Seattle, WA 98133",47.732530499999996,-122.33718818085612
86,"12226 Phinney Ave N, Seattle, WA 98133",47.718621999999996,-122.35393922823847
87,"16016 Burke Ave N, Shoreline, WA 98133",47.7358102,-122.3355007
88,"14020 Meridian Ave N, Seattle, WA 98133",47.73119935,-122.3339349972857
89,"108 N 183rd St, Shoreline, WA 98133",47.7614395,-122.34038
90,"10304 Interlake Ave N, Seattle, WA 98133",47.7034875,-122.3402770453398
91,"10703 Greenwood Ave N, Seattle, WA 98133",47.707061,-122.3559946
92,"501 N 143rd St, Seattle, WA 98133",47.7320605,-122.35287021927435
93,"709 W Blaine St, Seattle, WA 98119",47.6345419,-122.36690787456773
94,"1014 W Garfield St, Seattle, WA 98119",47.63370105,-122.37115684453337
95,"2806 13th Ave W, Seattle, WA 98119",47.6452862,-122.37284219285985
96,"2814 13th Ave W, Seattle, WA 98119",47.64535875,-122.37291839026929
97,"2561 3rd Ave W, Seattle, WA 98119",47.642384750000005,-122.36127274047365
98,"1417 4th Ave W, Seattle, WA 98119",47.631856299999995,-122.36218169097353
99,"2050 14th Ave W, Seattle, WA 98119",47.638166,-122.3746452
100,"1617-1621 3rd Ave W, Seattle, WA 98119",47.6413225,-122.3609126
101,"3429 9th Ave W, Seattle, WA 98119",47.6514092,-122.369166
102,"1400 10th Ave W, Seattle, WA 98119",47.6312723,-122.3699359
103,"1814 1st Ave W, Seattle, WA 98119",47.6352016,-122.35798279025514
104,"1906 11th Ave W, Seattle, WA 98119",47.636252,-122.3711782
105,"1917 3rd Ave W, Seattle, WA 98119",47.63647625,-122.36154489878142
106,"811 W Bertona St, Seattle, WA 98119",47.6502946,-122.36793187428958
107,"1949-1953 9th Ave W, Seattle, WA 98119",,
108,"2418 10th Ave W, Seattle, WA 98119",47.64018775,-122.36978029542243
109,"115 W Raye St, Seattle, WA 98119",47.643041249999996,-122.35900004809078
110,"309 W Prospect St, Seattle, WA 98119",47.628502749999996,-122.3611277721937
111,"2537 13th Ave W, Seattle, WA 98119",47.6417917,-122.3739514
112,"2518 1st Ave W, Seattle, WA 98119",47.64198005,-122.35789020102848
113,"2565-2599 3rd Ave W, Seattle, WA 98119",,
114,"2537 11th Ave W, Seattle, WA 98119",47.64181775,-122.37183745297658
115,"3415 9th Ave W, Seattle, WA 98119",47.65097335,-122.36914694229174
116,"2050 14th Ave W, Seattle, WA 98119",47.638166,-122.3746452
117,"830 W Armour St, Seattle, WA 98119",47.64524045,-122.36896248887675
118,"2536 1st Ave W, Seattle, WA 98119",47.64252275,-122.35792700659192
119,"3283 Conkling Pl W, Seattle, WA 98119",47.64993735,-122.36979160134105
120,"400 W Highland Dr, Seattle, WA 98119",47.629804699999994,-122.3620569486651
121,"2667 11th Ave W, Seattle, WA 98119",47.6441697,-122.37185592308991
122,"1223 7th Ave W, Seattle, WA 98119",47.6306443,-122.3669036901745
123,"2811 14th Ave W, Seattle, WA 98119",47.6451701,-122.37521392078295
124,"716 W Etruria St, Seattle, WA 98119",47.64790925,-122.36689556392258
125,"1228 9th Ave W, Seattle, WA 98119",47.630807250000004,-122.36871863010367
126,"206 W Boston St, Seattle, WA 98119",47.6385335,-122.36001855242279
127,"1604 1st Ave W, Seattle, WA 98119",47.633808450000004,-122.35801521012618
128,"715 W Howe St, Seattle, WA 98119",47.63572595,-122.36711181923977
129,"408 W Lee St, Seattle, WA 98119",47.631485850000004,-122.36214044650245
130,"2572 5th Ave W, Seattle, WA 98119",47.642729149999994,-122.36327285494518
131,"1323 Willard Ave W, Seattle, WA 98119",47.63119865,-122.36601455127524
132,"2067 Gilman Dr W, Seattle, WA 98119",47.63839725,-122.37315927516077
133,"1922 5th Ave W, Seattle, WA 98119",47.636648550000004,-122.36333172443932
134,"10 W Etruria St, Seattle, WA 98119",47.6481537,-122.3582102
135,"2841 13th Ave W, Seattle, WA 98119",47.6457574,-122.37377545496025
136,"1937 10th Ave W, Seattle, WA 98119",47.6370346,-122.37069207940173
137,"2425 Westview Dr W, Seattle, WA 98119",47.64028435,-122.37099953087593
138,"1206 9th Ave W, Seattle, WA 98119",47.63025155,-122.36866735625851
139,"2423 11th Ave W, Seattle, WA 98119",47.64032374999999,-122.37192675139653
140,"1922 11th Ave W, Seattle, WA 98119",47.6366305,-122.371121
141,"2425 3rd Ave W, Seattle, WA 98119",47.6404002,-122.36125710413043
142,"26206-26214 143rd Ave SE, Kent, WA 98042",,
143,"14034 SE 201st St, Kent, WA 98042",47.422023949999996,-122.19843243851483
144,"29734 215th Terrace SE, Kent, WA 98042",47.3358702,-122.05492251661676
145,"25305 151st Pl SE, Covington, WA 98042",47.37503445,-122.13973014874271
146,"25434 160th Ave SE, Kent, WA 98042",,
147,"16635 SE 268th St, Covington, WA 98042",47.3614755,-122.118899
148,"18611 SE 307th Ln, Kent, WA 98042",47.3270336,-122.0935680765381
149,"27000-27080 201st Ave SE, Covington, WA 98042",,
150,"14816 SE 278th St, Kent, WA 98042",47.35311035,-122.14298099584121
151,"15020 SE 281st St, Kent, WA 98042",47.350088400000004,-122.14007259888893
152,"13711 SE 251 Pl, Kent, WA 98042",47.420825199999996,-122.15789105035842
153,"15407 SE 252nd Pl, Covington, WA 98042",47.3755075,-122.13598725
154,"30928 148th Ave SE, Kent, WA 98042",47.3844953,-122.1426915
155,"17081-17183 SE Wax Rd, Covington, WA 98042",,
156,"24217 181st Pl SE, Covington, WA 98042",47.38485585,-122.10014252827185
157,"26635 Timberlane Dr SE, Covington, WA 98042",47.363594000000006,-122.09319654069768
158,"26010 141st Ave SE, Kent, WA 98042",47.3684316,-122.15316358763084
159,"22610 133rd Pl SE, Kent, WA 98042",47.399185900000006,-122.16274243595691
160,"26607 190th Ave SE, Covington, WA 98042",47.3627435,-122.08873304931096
161,"17814 SE 257th St, Covington, WA 98042",47.372331,-122.1039175
162,"18600-18698 SE 259th Pl, Covington, WA 98042",,
163,"23255 133rd Ave SE, Kent, WA 98042",47.39385265,-122.16385299731543
164,"28030 185th Pl SE, Kent, WA 98042",47.34960835,-122.09394045
165,"19654 SE 260th St, Covington, WA 98042",47.368924,-122.0769683828125
166,"22547 134th Pl SE, Kent, WA 98042",47.39919415,-122.162078275
167,"17421 SE Covington Sawyer Rd, Kent, WA 98042",,
168,"26222 142nd Ave SE, Kent, WA 98042",47.366965,-122.15184385388889
169,"16828 SE 251 St, Covington, WA 98042",,
170,"26272 142nd Ave SE, Kent, WA 98042",47.3657003,-122.1518373490569
171,"17458 SE 262nd St, Covington, WA 98042",47.3669405,-122.10701790960721
172,"31118 149th Ave SE, Kent, WA 98042",47.3614518,-122.1424853
173,"14435 SE 263rd St, Kent, WA 98042",47.36591595,-122.1479464165225
174,"32119 199th Ave SE, Kent, WA 98042",47.313313050000005,-122.07821100110661
175,"24923 161st Pl SE, Covington, WA 98042",47.378153299999994,-122.12685625100544
176,"25420 157th Ave SE, Covington, WA 98042",47.373703899999995,-122.1318493
177,"29234 158th Ave SE, Kent, WA 98042",47.33916345,-122.13114850242886
178,"23915 135th Pl SE, Kent, WA 98042",47.38753645,-122.16109155606964
179,"29245 188 Ave SE, Kent, WA 98042",47.33905095,-122.09312867432865
180,"24716 142nd Ave SE, Kent, WA 98042",47.379685,-122.15261007606259
181,"26510 134th Ave SE, Kent, WA 98042",47.363963049999995,-122.1622403429714
182,"20442 137th Ave SE, Kent, WA 98042",47.3631571,-122.1588445
183,"14000 SE 241st St, Kent, WA 98042",47.384457850000004,-122.15368488102683
184,"13712 SE 256th Pl, Kent, WA 98042",47.3721157,-122.1587691
185,"20609 SE 271st St, Covington, WA 98042",47.358486,-122.06716020481929
186,"19011 SE 283rd St, Kent, WA 98042",47.3471035,-122.0870278333965
187,"24702 132nd Ct SE, Kent, WA 98042",47.380359999999996,-122.16276235706638
188,"18035 SE 262nd Pl, Covington, WA 98042",47.366474999999994,-122.10041790730337
189,"26529 161st Ave SE, Covington, WA 98042",47.36289055,-122.1270708870842
190,"13303 SE 227th St, Kent, WA 98042",47.3985238,-122.16299451650974
191,"26712 186th Ave SE, Covington, WA 98042",47.362076,-122.09397200000001
192,"14404 SE 216th St, Kent, WA 98042",47.408647,-122.2017787
193,"19521 SE 271st Pl, Covington, WA 98042",47.3583875,-122.08140549999999
194,"29700 217th Pl SE, Kent, WA 98042",47.3365501,-122.05214334791181
195,"26303 191st Pl SE, Covington, WA 98042",47.366446999999994,-122.08693503054278
196,"19504 SE 324th St, Kent, WA 98042",47.3117003,-122.08305110375322
197,"26418 199th Pl SE, Covington, WA 98042",47.3645695,-122.07601106153476
198,"25806 136th Ave SE, Kent, WA 98042",47.37034975,-122.15928968358585
199,"19229 SE 272nd St, Kent, WA 98042",47.3580102,-122.1391866
200,"24815 180th Ave SE, Covington, WA 98042",47.379596750000005,-122.1021513
201,"26449 171st Ave SE, Covington, WA 98042",47.3642775,-122.11472
202,"17335 SE 265th St, Covington, WA 98042",47.363845,-122.1088158382353
203,"25417 167th Pl SE, Covington, WA 98042",47.373364800000004,-122.11916809392022
204,"14150-14198 SE 238th Ln, Kent, WA 98042",,
205,"29204 202nd Ave SE, Kent, WA 98042",47.3398111,-122.07146875544592
206,"31825 197th Ave SE, Kent, WA 98042",47.316749200000004,-122.08065691274524
207,"17001 SE 263rd St, Covington, WA 98042",47.366294499999995,-122.115047
208,"26119 185th Pl SE, Covington, WA 98042",47.367333,-122.09507413274336
209,"18901 SE 281st St, Kent, WA 98042",47.3498412,-122.1399729
210,"27924-27998 150th Pl SE, Kent, WA 98042",,
211,"19240 SE 259th Pl, Covington, WA 98042",47.369352,-122.0831772571305
212,"21720 SE 299th Way, Kent, WA 98042",47.3338749,-122.1826458
213,"24292 141st Pl SE, Kent, WA 98042",47.383863399999996,-122.1527996160668
214,"19223 SE 259th Pl, Covington, WA 98042",47.36901,-122.08387612144043
